0.4795,0.5205
0.4895,0.5105
0.486,0.514
0.4725,0.5275
0.48075,0.51925
0.4805,0.5195
0.48425,0.51575
0.48375,0.51625
0.47475,0.52525
0.48725,0.51275
0.47425,0.52575
0.49375,0.50625
0.4815,0.5185
0.49,0.51
0.47025,0.52975
0.4785,0.5215
0.483,0.517
0.464,0.536
0.4695,0.5305
0.479,0.521
0.4835,0.5165
0.47825,0.52175
0.472,0.528
0.49075,0.50925
0.47775,0.52225
0.49275,0.50725
0.47925,0.52075
0.48025,0.51975
0.475,0.525
0.47775,0.52225
0.49075,0.50925
0.4785,0.5215
0.468,0.532
0.478,0.522
0.48375,0.51625
0.48,0.52
0.49325,0.50675
0.4835,0.5165
0.4945,0.5055
0.4675,0.5325
0.49175,0.50825
0.4755,0.5245
0.4815,0.5185
0.48125,0.51875
0.4875,0.5125
0.483,0.517
0.48075,0.51925
0.48075,0.51925
0.47825,0.52175
0.49175,0.50825
0.47,0.53
0.46775,0.53225
0.4675,0.5325
0.48125,0.51875
0.47125,0.52875
0.47575,0.52425
0.47625,0.52375
0.4915,0.5085
0.46725,0.53275
0.48775,0.51225
0.47725,0.52275
0.48875,0.51125
0.4725,0.5275
0.48025,0.51975
0.4735,0.5265
0.48175,0.51825
0.47875,0.52125
0.4905,0.5095
0.48,0.52
0.47825,0.52175
0.4855,0.5145
0.4705,0.5295
0.482,0.518
0.477,0.523
0.49225,0.50775
0.49075,0.50925
0.47875,0.52125
0.47475,0.52525
0.475,0.525
0.4765,0.5235
0.47325,0.52675
0.47575,0.52425
0.49325,0.50675
0.47975,0.52025
0.49375,0.50625
0.4825,0.5175
0.48175,0.51825
0.49425,0.50575
0.49575,0.50425
0.487,0.513
0.47425,0.52575
0.48225,0.51775
0.48075,0.51925
0.46825,0.53175
0.49275,0.50725
0.47525,0.52475
0.471,0.529
0.4845,0.5155
0.488,0.512
0.473,0.527
0.4705,0.5295
0.4805,0.5195
0.49675,0.50325
0.47775,0.52225
0.492,0.508
0.48425,0.51575
0.48,0.52
0.47175,0.52825
0.48525,0.51475
0.47875,0.52125
0.48675,0.51325
0.49025,0.50975
0.48475,0.51525
0.47625,0.52375
0.4825,0.5175
0.488,0.512
0.491,0.509
0.48575,0.51425
0.474,0.526
0.484,0.516
0.4895,0.5105
0.48625,0.51375
0.47725,0.52275
0.47575,0.52425
0.4885,0.5115
0.48025,0.51975
0.46975,0.53025
0.4855,0.5145
0.48725,0.51275
